trip_id,duration,start_date,start_id,end_date,weekday,end_id,bike_id,type
913290,273,8/31/2015 19:18,49,8/31/2015 19:23,1,61,606,Subscriber
913289,445,8/31/2015 19:18,77,8/31/2015 19:26,1,64,621,Subscriber
913288,199,8/31/2015 19:18,63,8/31/2015 19:21,1,64,672,Subscriber
913287,847,8/31/2015 19:17,65,8/31/2015 19:31,1,74,462,Subscriber
913286,1036,8/31/2015 19:17,41,8/31/2015 19:34,1,70,535,Subscriber
913285,460,8/31/2015 19:15,51,8/31/2015 19:23,1,60,553,Subscriber
913284,322,8/31/2015 19:15,82,8/31/2015 19:20,1,75,512,Subscriber
913283,597,8/31/2015 19:14,76,8/31/2015 19:24,1,66,450,Subscriber
913282,235,8/31/2015 19:13,69,8/31/2015 19:17,1,65,462,Subscriber
913281,455,8/31/2015 19:12,65,8/31/2015 19:19,1,72,370,Subscriber
913280,467,8/31/2015 19:11,77,8/31/2015 19:19,1,54,426,Subscriber
913279,744,8/31/2015 19:11,66,8/31/2015 19:23,1,55,96,Subscriber
913278,1128,8/31/2015 19:10,36,8/31/2015 19:29,1,29,716,Subscriber
913277,895,8/31/2015 19:10,48,8/31/2015 19:25,1,70,158,Subscriber
913276,230,8/31/2015 19:09,64,8/31/2015 19:13,1,77,359,Subscriber
913275,487,8/31/2015 19:09,55,8/31/2015 19:17,1,70,463,Subscriber
913274,576,8/31/2015 19:08,76,8/31/2015 19:18,1,61,332,Subscriber
913273,264,8/31/2015 19:08,22,8/31/2015 19:12,1,26,700,Subscriber
913272,442,8/31/2015 19:06,57,8/31/2015 19:14,1,67,408,Subscriber
913270,1432,8/31/2015 19:06,64,8/31/2015 19:30,1,46,395,Subscriber
913269,260,8/31/2015 19:05,48,8/31/2015 19:10,1,50,292,Subscriber
913268,259,8/31/2015 19:05,70,8/31/2015 19:09,1,61,607,Subscriber
913267,780,8/31/2015 19:04,48,8/31/2015 19:17,1,69,521,Subscriber
913266,229,8/31/2015 19:04,37,8/31/2015 19:08,1,34,41,Subscriber
913265,658,8/31/2015 19:04,65,8/31/2015 19:15,1,49,606,Subscriber
913264,431,8/31/2015 19:04,61,8/31/2015 19:11,1,74,418,Subscriber
913263,315,8/31/2015 19:03,28,8/31/2015 19:09,1,30,141,Subscriber
913258,414,8/31/2015 19:02,57,8/31/2015 19:09,1,74,352,Subscriber
913256,397,8/31/2015 19:02,28,8/31/2015 19:09,1,32,639,Subscriber
913254,286,8/31/2015 19:02,28,8/31/2015 19:06,1,32,148,Subscriber
913251,660,8/31/2015 19:01,60,8/31/2015 19:12,1,55,356,Subscriber
913250,226,8/31/2015 18:57,70,8/31/2015 19:01,1,61,501,Customer
913248,291,8/31/2015 18:56,69,8/31/2015 19:01,1,64,395,Subscriber
913247,415,8/31/2015 18:55,77,8/31/2015 19:02,1,73,659,Subscriber
913246,769,8/31/2015 18:55,70,8/31/2015 19:08,1,50,587,Subscriber
913245,727,8/31/2015 18:55,70,8/31/2015 19:07,1,42,687,Subscriber
913244,225,8/31/2015 18:55,22,8/31/2015 18:59,1,83,699,Subscriber
913243,756,8/31/2015 18:55,70,8/31/2015 19:07,1,42,470,Subscriber
913242,452,8/31/2015 18:53,76,8/31/2015 19:00,1,67,434,Subscriber
913241,267,8/31/2015 18:54,41,8/31/2015 18:58,1,63,421,Subscriber
913237,142,8/31/2015 18:51,63,8/31/2015 18:53,1,77,361,Subscriber
913236,391,8/31/2015 18:50,74,8/31/2015 18:57,1,60,409,Subscriber
913235,692,8/31/2015 18:50,51,8/31/2015 19:01,1,61,364,Subscriber
913234,659,8/31/2015 18:49,77,8/31/2015 19:00,1,54,335,Subscriber
913233,475,8/31/2015 18:49,56,8/31/2015 18:57,1,39,440,Subscriber
913232,421,8/31/2015 18:49,51,8/31/2015 18:56,1,61,267,Subscriber
913231,515,8/31/2015 18:49,39,8/31/2015 18:57,1,55,412,Subscriber
913230,395,8/31/2015 18:48,75,8/31/2015 18:55,1,39,469,Subscriber
